table,entity,column,field,java_type,db_type,constraints,relation,note,source
"AI_CHAT_MESSAGE","AiChatMessageEntity","message_id","messageId","Integer","INTEGER","PK, IDENTITY/Generated","","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatMessageEntity.java"
"AI_CHAT_MESSAGE","AiChatMessageEntity","session_id","session","AiChatSessionEntity","FK column","NOT NULL","ManyToOne -> AiChatSessionEntity","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatMessageEntity.java"
"AI_CHAT_MESSAGE","AiChatMessageEntity","role","role","MessageRole","VARCHAR(20)","NOT NULL","","Enum STRING","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatMessageEntity.java"
"AI_CHAT_MESSAGE","AiChatMessageEntity","content","content","String","TEXT","NOT NULL","","columnDefinition=TEXT","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatMessageEntity.java"
"AI_CHAT_MESSAGE","AiChatMessageEntity","seq_no","seqNo","Integer","INTEGER","NOT NULL","","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatMessageEntity.java"
"AI_CHAT_MESSAGE","AiChatMessageEntity","model_name","modelName","String","VARCHAR(100)","","","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatMessageEntity.java"
"AI_CHAT_MESSAGE","AiChatMessageEntity","prompt_tokens","promptTokens","Integer","INTEGER","","","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatMessageEntity.java"
"AI_CHAT_MESSAGE","AiChatMessageEntity","completion_tokens","completionTokens","Integer","INTEGER","","","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatMessageEntity.java"
"AI_CHAT_MESSAGE","AiChatMessageEntity","parent_message_id","parentMessage","AiChatMessageEntity","FK column","","ManyToOne -> AiChatMessageEntity","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatMessageEntity.java"
"AI_CHAT_MESSAGE","AiChatMessageEntity","created_at","createdAt","LocalDateTime","TIMESTAMP","updatable=false","BaseTimeEntity","@CreatedDate","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatMessageEntity.java"
"AI_CHAT_MESSAGE","AiChatMessageEntity","updated_at","updatedAt","LocalDateTime","TIMESTAMP","","BaseTimeEntity","@LastModifiedDate","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatMessageEntity.java"
"AI_CHAT_SESSION","AiChatSessionEntity","session_id","sessionId","Integer","INTEGER","PK, IDENTITY/Generated","","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatSessionEntity.java"
"AI_CHAT_SESSION","AiChatSessionEntity","emp_no","employee","EmpEntity","FK column","NOT NULL","ManyToOne -> EmpEntity","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatSessionEntity.java"
"AI_CHAT_SESSION","AiChatSessionEntity","session_type","sessionType","SessionType","VARCHAR(20)","NOT NULL","","Enum STRING","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatSessionEntity.java"
"AI_CHAT_SESSION","AiChatSessionEntity","title","title","String","VARCHAR(200)","","","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatSessionEntity.java"
"AI_CHAT_SESSION","AiChatSessionEntity","status","status","SessionStatus","VARCHAR(20)","NOT NULL","","Enum STRING","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatSessionEntity.java"
"AI_CHAT_SESSION","AiChatSessionEntity","last_message_at","lastMessageAt","LocalDateTime","TIMESTAMP","","","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatSessionEntity.java"
"AI_CHAT_SESSION","AiChatSessionEntity","created_at","createdAt","LocalDateTime","TIMESTAMP","updatable=false","BaseTimeEntity","@CreatedDate","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatSessionEntity.java"
"AI_CHAT_SESSION","AiChatSessionEntity","updated_at","updatedAt","LocalDateTime","TIMESTAMP","","BaseTimeEntity","@LastModifiedDate","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiChatSessionEntity.java"
"AI_FEEDBACK","AiFeedbackEntity","feedback_id","feedbackId","Integer","INTEGER","PK, IDENTITY/Generated","","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiFeedbackEntity.java"
"AI_FEEDBACK","AiFeedbackEntity","message_id","message","AiChatMessageEntity","FK column","NOT NULL","ManyToOne -> AiChatMessageEntity","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiFeedbackEntity.java"
"AI_FEEDBACK","AiFeedbackEntity","emp_no","employee","EmpEntity","FK column","","ManyToOne -> EmpEntity","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiFeedbackEntity.java"
"AI_FEEDBACK","AiFeedbackEntity","rating","rating","Integer","INTEGER","NOT NULL","","","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiFeedbackEntity.java"
"AI_FEEDBACK","AiFeedbackEntity","reason","reason","String","TEXT","","","columnDefinition=TEXT","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiFeedbackEntity.java"
"AI_FEEDBACK","AiFeedbackEntity","created_at","createdAt","LocalDateTime","TIMESTAMP","updatable=false","BaseTimeEntity","@CreatedDate","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiFeedbackEntity.java"
"AI_FEEDBACK","AiFeedbackEntity","updated_at","updatedAt","LocalDateTime","TIMESTAMP","","BaseTimeEntity","@LastModifiedDate","src/main/java/com/ict06/team1_fin_pj/domain/aiSecretary/entity/AiFeedbackEntity.java"
